rank	country	score
1	NL	636
2	NO	610
3	SG	609
4	SE	608
5	HR	607
6	PT	605
7	DK	603
8	GR	602
9	AT	600
10	DE	598
11	ZA	594
12	RO	593
13	BE	592
14	FI	590
15	PL	588
16	BG	586
17	HU	585
18	SK	584
19	KE	581
20	EE	578
21	LU	576
22	PH	570
23	LT	569
24	RS	568
25	CZ	567
26	MY	566
27	SR	563
28	AR	562
29	CY	558
30	NG	557
31	CH	550
32	HK	549
33	HN	545
34	GE	543
35	BY	539
36	ES	538
36	UY	538
38	AM	537
39	MD	536
40	UA	535
41	CR	534
41	GH	534
43	AL	533
44	RU	532
45	PY	531
46	IT	528
47	BO	525
47	CL	525
49	FR	524
50	KR	523
51	IL	522
52	CU	520
53	PE	519
54	UG	518
55	SV	513
56	NP	512
57	VE	510
58	GT	507
59	NI	505
60	DO	503
61	BD	500
62	IR	499
63	ET	498
63	VN	498
65	TR	497
66	TN	496
67	PK	493
68	LB	492
69	IN	490
70	AE	489
71	PA	488
72	TZ	487
73	LK	486
74	CO	485
75	QA	480
76	MA	479
77	SY	473
78	DZ	471
79	MZ	469
80	ID	468
81	BR	466
82	EC	465
82	EG	465
84	MN	464
85	MG	463
86	AZ	462
87	MX	459
88	KG	457
89	KW	456
89	CV	456
91	CN	455
92	JP	454
93	MM	449
94	PS	448
95	AF	447
95	MW	447
97	CM	445
98	UZ	439
99	SD	432
99	HT	432
101	JO	431
102	SN	429
103	KZ	427
104	OM	421
105	SA	417
106	TH	415
107	IQ	414
108	BJ	413
109	TJ	412
110	AO	409
111	KH	408
112	LY	405
113	RW	401
114	CI	399
114	SO	399
116	YE	394
