indicator,author_order,threshold,english_speaking_country,author_profile_group,ai_use_change,lower,upper
age,first,10,0,0,.080139063,.076604463,.083673663
age,first,10,0,1,.078201711,.074850872,.08155255
age,first,10,1,0,.062132053,.055035446,.069228657
age,first,10,1,1,.052204411,.047704659,.056704167
age,first,15,0,0,.079977795,.076495744,.083459839
age,first,15,0,1,.077845447,.074422345,.081268542
age,first,15,1,0,.060559817,.054079082,.067040548
age,first,15,1,1,.051024012,.046535399,.055512622
age,first,20,0,0,.080267332,.076772444,.083762214
age,first,20,0,1,.076555282,.073206782,.079903774
age,first,20,1,0,.060136449,.053856649,.066416249
age,first,20,1,1,.049104065,.044755001,.053453125
age,corresponding,10,0,0,.10158958,.094848633,.10833052
age,corresponding,10,0,1,.075637773,.072703503,.078572042
age,corresponding,10,1,0,.081656896,.069015741,.094298057
age,corresponding,10,1,1,.053618439,.049440298,.057796575
age,corresponding,15,0,0,.096999198,.091261245,.10273716
age,corresponding,15,0,1,.073922053,.071124569,.076719545
age,corresponding,15,1,0,.077334285,.066854343,.087814234
age,corresponding,15,1,1,.051758297,.04790169,.055614907
age,corresponding,20,0,0,.092550583,.087693758,.097407408
age,corresponding,20,0,1,.071430154,.068790257,.074070059
age,corresponding,20,1,0,.071048819,.062444676,.079652965
age,corresponding,20,1,1,.050285056,.0465082,.054061912
cit,first,1,0,0,.078896858,.075582944,.082210772
cit,first,1,0,1,.085380182,.079537198,.091223165
cit,first,1,1,0,.057083935,.051331893,.062835976
cit,first,1,1,1,.037730411,.032207921,.0432529
cit,first,5,0,0,.078964226,.075676315,.082252137
cit,first,5,0,1,.079663292,.075328439,.083998144
cit,first,5,1,0,.05789116,.052040022,.063742302
cit,first,5,1,1,.044714279,.0398577,.049570855
cit,first,10,0,0,.079156317,.075891234,.082421392
cit,first,10,0,1,.07836847,.074262001,.08247494
cit,first,10,1,0,.058789708,.052679203,.064900212
cit,first,10,1,1,.046709504,.042609617,.050809391
cit,first,20,0,0,.079710804,.076412328,.083009273
cit,first,20,0,1,.077536874,.0738893,.081184439
cit,first,20,1,0,.060136661,.053494819,.066778511
cit,first,20,1,1,.04946731,.045551863,.053382754
cit,corresponding,1,0,0,.080268875,.076831579,.083706178
cit,corresponding,1,0,1,.066065237,.063164905,.068965562
cit,corresponding,1,1,0,.058829557,.052930832,.064728282
cit,corresponding,1,1,1,.04623536,.042813055,.049657665
cit,corresponding,5,0,0,.084060334,.080313779,.087806888
cit,corresponding,5,0,1,.067347549,.064656772,.070038334
cit,corresponding,5,1,0,.063171379,.05608337,.070259392
cit,corresponding,5,1,1,.048178721,.044932157,.051425286
cit,corresponding,10,0,0,.08714322,.083060652,.091225795
cit,corresponding,10,0,1,.069803499,.067047015,.072559983
cit,corresponding,10,1,0,.067031369,.058695097,.075367644
cit,corresponding,10,1,1,.049657304,.046297003,.053017609
cit,corresponding,20,0,0,.092173673,.087549984,.096797362
cit,corresponding,20,0,1,.07232406,.069494225,.075153895
cit,corresponding,20,1,0,.071616814,.061109886,.082123749
cit,corresponding,20,1,1,.051825128,.04823653,.055413723
ins,first,100,0,0,.080643713,.077166244,.084121183
ins,first,100,0,1,.061653066,.059135672,.064170457
ins,first,100,1,0,.062287543,.055820156,.068754934
