role,country,quantile,quantile_label,mean_productivity_change,ci,n
First Author,English-speaking,0,0-20%,-0.292807780906066,0.05848238630497364,11721
First Author,English-speaking,1,20-40%,-0.029208371246587806,0.04917914614410854,10990
First Author,English-speaking,2,40-60%,0.1208104052026013,0.060949826841499244,7996
First Author,English-speaking,3,60-80%,0.31216605014385534,0.05920006681231254,9732
First Author,English-speaking,4,80-100%,0.762156188605108,0.07877730602108882,8144
First Author,Non-English-speaking,0,0-20%,-0.6886644113022348,0.052938946362550074,20987
First Author,Non-English-speaking,1,20-40%,-0.2375441632417622,0.03604698592703851,27738
First Author,Non-English-speaking,2,40-60%,0.0032372936225315637,0.049222736381658805,18534
First Author,Non-English-speaking,3,60-80%,0.11409100901296988,0.04873335726649538,22745
First Author,Non-English-speaking,4,80-100%,0.5877422520238776,0.05793625284012387,24458
Corresponding Author,English-speaking,0,0-20%,-1.123468251021166,0.05950925008521808,16158
Corresponding Author,English-speaking,1,20-40%,-0.444411214953271,0.052438307902559794,13375
Corresponding Author,English-speaking,2,40-60%,-0.1659691153124549,0.05804271720733927,13858
Corresponding Author,English-speaking,3,60-80%,0.0937523780534206,0.06491517063248624,13141
Corresponding Author,English-speaking,4,80-100%,0.5337843933243122,0.08102966161189294,11085
Corresponding Author,Non-English-speaking,0,0-20%,-1.7651997683844818,0.056254500621269056,24178
Corresponding Author,Non-English-speaking,1,20-40%,-0.8064432126780998,0.04288039762011163,26881
Corresponding Author,Non-English-speaking,2,40-60%,-0.5480024537995553,0.04815549851843361,26082
Corresponding Author,Non-English-speaking,3,60-80%,-0.23480897962202743,0.0527688820605443,27039
Corresponding Author,Non-English-speaking,4,80-100%,0.28482908189610656,0.058949610102807165,29049
