country,country_iso3,ai_content_change,paper_count,pre_period_n,post_period_n
AE,ARE,0.11895056836334729,3461,1547,1914
AR,ARG,0.051011587980287376,3073,1547,1526
AT,AUT,0.035706666728045705,11327,6041,5286
AU,AUS,0.034130159181737244,37606,19682,17924
BD,BGD,0.12119012737086471,5220,2282,2938
BE,BEL,0.042508535331890855,10720,5530,5190
BG,BGR,0.06367152669504025,1990,741,1249
BR,BRA,0.08048907246442566,32506,15979,16527
CA,CAN,0.041356148841861604,39665,19962,19703
CH,CHE,0.04040568440962939,19446,10157,9289
CL,CHL,0.08440632970079738,5103,2526,2577
CM,CMR,0.03955661324657589,1095,516,579
CN,CHN,0.10176821482935286,474094,228193,245901
CO,COL,0.0945857512013782,4694,2152,2542
CY,CYP,0.08102784990471021,1139,562,577
CZ,CZE,0.045809304954277624,7791,4099,3692
DE,DEU,0.03505719162660953,80002,42289,37713
DK,DNK,0.034283862069354167,11795,5894,5901
DZ,DZA,0.16001737662489815,870,397,473
EC,ECU,0.1260413872071598,1249,524,725
EE,EST,0.05369232939440302,859,442,417
EG,EGY,0.06982126412130774,14977,6493,8484
ES,ESP,0.058357234331394024,49910,26581,23329
ET,ETH,0.07685389325324765,12285,5803,6482
FI,FIN,0.028671206633979637,8326,4480,3846
FR,FRA,0.03260343253950844,30850,16766,14084
GB,GBR,0.0318095682652942,72874,38084,34790
GH,GHA,0.07734464705227045,3149,1381,1768
GR,GRC,0.07420038403397086,11272,5118,6154
HK,HKG,0.07127838559071437,4997,2555,2442
HR,HRV,0.05735419258237935,3838,1856,1982
HU,HUN,0.04952214170394744,7214,3440,3774
ID,IDN,0.09248650106311432,8452,4083,4369
IE,IRL,0.034933222654267876,6371,3319,3052
IL,ISR,0.06662677732524937,10816,5466,5350
IN,IND,0.09086863650884111,55472,24754,30718
IQ,IRQ,0.11497565534342608,2099,880,1219
IR,IRN,0.09902585700857722,35442,16013,19429
IT,ITA,0.0640419114171863,77727,40296,37431
JO,JOR,0.13218234538288942,2846,1323,1523
JP,JPN,0.03430933221858652,77742,39517,38225
KE,KEN,0.065149273988778,1899,928,971
KR,KOR,0.10379383009991629,67244,35236,32008
KW,KWT,0.07681076306491587,957,516,441
KZ,KAZ,0.12122058745793177,1478,551,927
LB,LBN,0.09493410355156183,1763,779,984
LK,LKA,0.08134083915171289,1238,625,613
LT,LTU,0.06263396099516441,2898,1436,1462
LU,LUX,0.07833763440860214,534,255,279
LV,LVA,0.07222203016076256,1063,495,568
MA,MAR,0.1325456484202214,3379,1448,1931
MO,MAC,0.1380236430591877,908,457,451
MX,MEX,0.06532670073957236,11676,5413,6263
MY,MYS,0.10233520321259301,10124,5872,4252
NG,NGA,0.08055530024146558,4556,2325,2231
NL,NLD,0.03530398679323662,30688,16622,14066
NO,NOR,0.03617553665462312,10462,5608,4854
NP,NPL,0.08530767098479108,1922,901,1021
NZ,NZL,0.041936067807570615,4587,2547,2040
OM,OMN,0.11241151219049426,713,332,381
PE,PER,0.09766930958502805,1986,823,1163
PH,PHL,0.09111514470533875,1069,537,532
PK,PAK,0.10467823137209031,12717,6077,6640
PL,POL,0.05641048453094921,38811,21064,17747
PR,PRI,0.0910668705583381,524,231,293
PS,PSE,0.12594415955884247,816,302,514
PT,PRT,0.07381821648319009,13942,6794,7148
QA,QAT,0.11469539956223634,2476,1279,1197
RO,ROU,0.10514315507304789,11714,5211,6503
RS,SRB,0.06528158936946325,3314,1414,1900
RU,RUS,0.03419343904196479,16068,8121,7947
SA,SAU,0.12079825137533068,22855,10386,12469
SD,SDN,0.12246747388414056,555,243,312
SE,SWE,0.035196024159739304,19560,10138,9422
SG,SGP,0.057770577836816675,6255,3349,2906
SI,SVN,0.053124572179822874,3533,1847,1686
SK,SVK,0.051286993249172234,2616,1346,1270
SY,SYR,0.08966957231250425,958,385,573
TH,THA,0.09967712945214918,13855,6615,7240
TN,TUN,0.0963207392836327,2694,1296,1398
TR,TUR,0.08325209900174486,19117,7605,11512
TW,TWN,0.097686492327447,26749,15702,11047
TZ,TZA,0.07750234158850128,1747,725,1022
UA,UKR,0.09265623060867605,1135,513,622
UG,UGA,0.08008186405113941,2041,891,1150
US,USA,0.03671551728628818,254778,125785,128993
VN,VNM,0.09127671752126848,3649,1623,2026
ZA,ZAF,0.058695911134441545,10524,5133,5391
