country,country_iso3,ai_content_change,paper_count,pre_period_n,post_period_n
AE,ARE,0.12361583814240923,3380,1492,1888
AR,ARG,0.05227909174506026,2774,1393,1381
AT,AUT,0.03595912860539904,11449,6053,5396
AU,AUS,0.039546470133892536,39743,20862,18881
BD,BGD,0.11639640219506593,4640,2024,2616
BE,BEL,0.04463479045255874,11571,6080,5491
BG,BGR,0.06125620186510221,1850,663,1187
BR,BRA,0.07879273948984446,32105,15746,16359
CA,CAN,0.04306240806793138,41236,20806,20430
CH,CHE,0.040991890991963854,20517,10601,9916
CL,CHL,0.08565935389331061,4848,2413,2435
CM,CMR,0.036860799001248445,1002,468,534
CN,CHN,0.10142612570114366,460157,221004,239153
CO,COL,0.09444990000480831,4255,1943,2312
CY,CYP,0.08598398524249588,1057,517,540
CZ,CZE,0.048918024789426286,7743,4053,3690
DE,DEU,0.036531982236228513,81316,42851,38465
DK,DNK,0.03608223506646567,12120,6079,6041
EC,ECU,0.12284610321221695,1065,432,633
EE,EST,0.04766584766584766,825,418,407
EG,EGY,0.07391012342656464,15885,6919,8966
ES,ESP,0.05989497597735356,51180,27162,24018
ET,ETH,0.08002494352009155,11750,5548,6202
FI,FIN,0.03339865344776562,8155,4340,3815
FR,FRA,0.03498639543174419,33492,18140,15352
GB,GBR,0.03388484335913579,76456,39957,36499
GH,GHA,0.08049982318247569,2850,1256,1594
GR,GRC,0.07768837612651418,11127,5018,6109
HK,HKG,0.07937083390704072,4853,2498,2355
HR,HRV,0.06199583345746926,3690,1727,1963
HU,HUN,0.05471723041361517,7209,3405,3804
ID,IDN,0.09002354689683098,7527,3645,3882
IE,IRL,0.04415821707503742,6506,3372,3134
IL,ISR,0.06515227748129926,10643,5373,5270
IN,IND,0.08846036346576686,50355,22307,28048
IQ,IRQ,0.11380875709740865,1573,626,947
IR,IRN,0.10047015640996504,31921,14198,17723
IT,ITA,0.06472055293919098,78362,40751,37611
JO,JOR,0.13542965429955298,2223,1058,1165
JP,JPN,0.035816162007949646,77492,39370,38122
KE,KEN,0.06984459483046661,1795,839,956
KR,KOR,0.10436157975520581,67428,35525,31903
KW,KWT,0.08265531315466301,817,436,381
KZ,KAZ,0.12438072720740521,1274,472,802
LB,LBN,0.09169519851473719,1597,726,871
LK,LKA,0.06909714078683205,1097,548,549
LT,LTU,0.0644248183149208,2741,1366,1375
LU,LUX,0.07049738993400967,570,284,286
LV,LVA,0.07989025682837342,996,446,550
MA,MAR,0.13172297441725486,3275,1409,1866
MO,MAC,0.14167439043897534,1025,522,503
MX,MEX,0.0647986092678611,11308,5280,6028
MY,MYS,0.11145657182390384,10206,5815,4391
NG,NGA,0.08250266507916419,3980,2031,1949
NL,NLD,0.03711329087990252,31357,16932,14425
NO,NOR,0.0410915233684071,10638,5591,5047
NP,NPL,0.08576895567002055,1732,842,890
NZ,NZL,0.040960935985204755,4694,2563,2131
OM,OMN,0.10493837817758972,705,332,373
PE,PER,0.09754552935955557,1721,692,1029
PH,PHL,0.09172916266564242,1000,492,508
PK,PAK,0.1108515189613002,8875,4365,4510
PL,POL,0.0578178562703733,37150,20095,17055
PR,PRI,0.09725927477540383,514,217,297
PS,PSE,0.1316661184633175,577,215,362
PT,PRT,0.07633872878029528,14324,6921,7403
QA,QAT,0.12201319054812255,2668,1344,1324
RO,ROU,0.10660227022321114,11861,5243,6618
RS,SRB,0.06501333070359801,3158,1335,1823
RU,RUS,0.03488962886580831,15053,7583,7470
SA,SAU,0.11994024480129259,20744,9269,11475
SE,SWE,0.03806000275441953,20174,10436,9738
SG,SGP,0.056739731570087756,6120,3286,2834
SI,SVN,0.05067218682443965,3562,1870,1692
SK,SVK,0.05775126541263294,2541,1279,1262
SY,SYR,0.09492534533446097,914,356,558
TH,THA,0.09924915787702626,13520,6497,7023
TN,TUN,0.0969572340294966,2423,1178,1245
TR,TUR,0.0787795842706121,16862,6651,10211
TW,TWN,0.09771424401228959,27063,15906,11157
TZ,TZA,0.06451678377128257,1377,547,830
UA,UKR,0.09580393183816238,940,386,554
UG,UGA,0.0831764522113831,1853,775,1078
US,USA,0.03871193098514384,266667,132308,134359
VN,VNM,0.09035954335858708,3134,1381,1753
ZA,ZAF,0.059925483713846595,10558,5145,5413
