indicator,order,level,outcome,eng_var,top_var,term,estimate,std_error,t_value,pvalue,lower,upper,status,model_fe_type,n,r2
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,english_first,0.017279040470819438,0.0015886265913897996,10.876716129813099,0.0,0.014164839383228971,0.020393241558409905,success,journal + subfield,1978736,0.19315162486021076
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,english_first:first_senior_10,-0.0011782105485251063,0.0008411016711266892,-1.4007944449175167,0.16132084125796475,-0.0028270308271189353,0.0004706097300687226,success,journal + subfield,1978736,0.19315162486021076
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,english_first:post_gpt,-0.01854775859926186,0.002873309210191778,-6.455190598168826,1.1546918976534926e-10,-0.024180336270981925,-0.012915180927541795,success,journal + subfield,1978736,0.19315162486021076
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,english_first:post_gpt:first_senior_10,-0.007253789614662694,0.001474503717905212,-4.919478687356556,8.879916362225515e-07,-0.010144274456628861,-0.004363304772696527,success,journal + subfield,1978736,0.19315162486021076
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,first_senior_10,-0.0009798556954716572,0.00030645510115853307,-3.197387453390001,0.0013930896828699968,-0.0015806027901621924,-0.0003791086007811221,success,journal + subfield,1978736,0.19315162486021076
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,log_paper_authors_count,-0.005530601220872848,0.0007996361566718392,-6.916397132280424,5.051514762044462e-12,-0.007098136223925732,-0.003963066217819965,success,journal + subfield,1978736,0.19315162486021076
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,log_paper_ref_count,0.03417748092045831,0.0013478098866731567,25.357790633825743,0.0,0.03153535530220922,0.0368196065387074,success,journal + subfield,1978736,0.19315162486021076
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,log_sentences_count,-0.03194677913997497,0.0015456985938392344,-20.668181537659926,0.0,-0.034976828031332154,-0.02891673024861779,success,journal + subfield,1978736,0.19315162486021076
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,post_gpt,0.07873787203171254,0.001739483797361011,45.265079301782855,0.0,0.07532794400775283,0.08214780005567224,success,journal + subfield,1978736,0.19315162486021076
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,post_gpt:first_senior_10,-0.0016575128251743998,0.0008454184897076423,-1.9605826526784282,0.0499681889904493,-0.003314795407743623,-2.3024260517676837e-07,success,journal + subfield,1978736,0.19315162486021076
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,english_first,0.01732405135544039,0.0014753877878849913,11.742032499994384,0.0,0.014431833461977125,0.020216269248903653,success,journal + subfield,1978736,0.193184288548908
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,english_first:first_senior_15,-0.0017047401021069435,0.0007321017532616023,-2.3285562348568614,0.019911532581811553,-0.0031398867178006936,-0.0002695934864131934,success,journal + subfield,1978736,0.193184288548908
