indicator,order,level,outcome,eng_var,top_var,term,estimate,std_error,t_value,pvalue,lower,upper,status,model_fe_type,n,r2
age,first,10,ai_use_method_results,english_first,first_senior_10,english_first,0.0019357497304654625,0.00033647917896676793,5.752955461938538,9.223060537522088e-09,0.0012761234453267192,0.002595376015604206,success,journal + subfield,1454831,0.11830790068562413
age,first,10,ai_use_method_results,english_first,first_senior_10,english_first:first_senior_10,-2.0468457409583142e-05,0.00015533525097420508,-0.13176955830188297,0.8951711878070432,-0.000324984222295377,0.0002840473074762107,success,journal + subfield,1454831,0.11830790068562413
age,first,10,ai_use_method_results,english_first,first_senior_10,english_first:post_gpt,-0.001963911828899301,0.00046800765462879057,-4.196324161528973,2.7537977642433376e-05,-0.0028813836070558166,-0.001046440050742785,success,journal + subfield,1454831,0.11830790068562413
age,first,10,ai_use_method_results,english_first,first_senior_10,english_first:post_gpt:first_senior_10,-0.0015081540844396634,0.000333036917041307,-4.52848920725688,6.0609583958370905e-06,-0.002161032235998972,-0.0008552759328803551,success,journal + subfield,1454831,0.11830790068562413
age,first,10,ai_use_method_results,english_first,first_senior_10,first_senior_10,0.0003328625223907468,8.858720589007824e-05,3.7574559333519666,0.00017335336863499862,0.0001591981378320085,0.0005065269069494851,success,journal + subfield,1454831,0.11830790068562413
age,first,10,ai_use_method_results,english_first,first_senior_10,log_paper_authors_count,-0.0018463851207356,0.00020812486440351905,-8.871525879559352,0.0,-0.002254388467549094,-0.001438381773922106,success,journal + subfield,1454831,0.11830790068562413
age,first,10,ai_use_method_results,english_first,first_senior_10,log_paper_ref_count,0.0003529139374637529,0.00028936935059528364,1.2195968119558858,0.2226679092260757,-0.0002143592898197374,0.0009201871647472432,success,journal + subfield,1454831,0.11830790068562413
age,first,10,ai_use_method_results,english_first,first_senior_10,log_sentences_count,0.007044803915345283,0.000598277146889067,11.775151285615687,0.0,0.0058719547271795635,0.008217653103511002,success,journal + subfield,1454831,0.11830790068562413
age,first,10,ai_use_method_results,english_first,first_senior_10,post_gpt,0.009953992254873329,0.00045572847264983775,21.841936267435173,0.0,0.009060592311468049,0.01084739219827861,success,journal + subfield,1454831,0.11830790068562413
age,first,10,ai_use_method_results,english_first,first_senior_10,post_gpt:first_senior_10,-0.0005294118283439521,0.00022574904641921808,-2.345134284026296,0.019054135297400743,-0.0009719652288853553,-8.685842780254885e-05,success,journal + subfield,1454831,0.11830790068562413
age,first,15,ai_use_method_results,english_first,first_senior_15,english_first,0.0019547967198109443,0.00031986039745387276,6.111405898858881,1.0525869065247662e-09,0.0013277495236563848,0.002581843915965504,success,journal + subfield,1454831,0.11832268285412406
age,first,15,ai_use_method_results,english_first,first_senior_15,english_first:first_senior_15,-6.047428980709677e-05,0.00015508385913806864,-0.38994573737849464,0.6965911530351199,-0.00036449723173875094,0.00024354865212455743,success,journal + subfield,1454831,0.11832268285412406
age,first,15,ai_use_method_results,english_first,first_senior_15,english_first:post_gpt,-0.002227911770239506,0.00042470059581307376,-5.2458409340685055,1.6115537548877512e-07,-0.0030604853552459554,-0.0013953381852330562,success,journal + subfield,1454831,0.11832268285412406
age,first,15,ai_use_method_results,english_first,first_senior_15,english_first:post_gpt:first_senior_15,-0.0014254562318640792,0.00030682207706775186,-4.645872440102518,3.462109822605086e-06,-0.0020269433952488395,-0.0008239690684793189,success,journal + subfield,1454831,0.11832268285412406
age,first,15,ai_use_method_results,english_first,first_senior_15,first_senior_15,0.0003353974524596033,0.00010515175357482984,3.1896515374888366,0.0014321133221435467,0.0001292602977049552,0.0005415346072142514,success,journal + subfield,1454831,0.11832268285412406
age,first,15,ai_use_method_results,english_first,first_senior_15,log_paper_authors_count,-0.00184835270045971,0.0002080388983118153,-8.884649531691618,0.0,-0.0022561875212624934,-0.0014405178796569264,success,journal + subfield,1454831,0.11832268285412406
age,first,15,ai_use_method_results,english_first,first_senior_15,log_paper_ref_count,0.0003474965017203276,0.00028881866239285046,1.2031649853971822,0.22896214657715896,-0.00021869716868134852,0.0009136901721220037,success,journal + subfield,1454831,0.11832268285412406
age,first,15,ai_use_method_results,english_first,first_senior_15,log_sentences_count,0.007042589982604113,0.0005979380910908073,11.778125674777547,0.0,0.005870405471870583,0.008214774493337643,success,journal + subfield,1454831,0.11832268285412406
age,first,15,ai_use_method_results,english_first,first_senior_15,post_gpt,0.00994685540018642,0.00044932857891257617,22.13715278084222,0.0,0.009066001665863542,0.010827709134509297,success,journal + subfield,1454831,0.11832268285412406
age,first,15,ai_use_method_results,english_first,first_senior_15,post_gpt:first_senior_15,-0.0006798206090836223,0.00024361553231896848,-2.790547066570147,0.005279293586052836,-0.0011573990704883013,-0.0002022421476789434,success,journal + subfield,1454831,0.11832268285412406
age,first,20,ai_use_method_results,english_first,first_senior_20,english_first,0.001989484081745493,0.00032031701295320104,6.210984747276475,5.635276689730517e-10,0.0013615417467401922,0.0026174264167507936,success,journal + subfield,1454831,0.11831137543149384
