indicator,order,level,outcome,eng_var,top_var,term,estimate,std_error,t_value,pvalue,lower,upper,status,model_fe_type,n,r2
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,english_first,0.009215531867189194,0.0008661921497605006,10.639131132436678,0.0,0.007517529670789462,0.010913534063588927,success,journal + subfield,2052933,0.19181869703241916
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,english_first:first_senior_10,0.0012986200463324885,0.0005138504153498647,2.527233621964281,0.011518571401103905,0.0002913156807523645,0.0023059244119126125,success,journal + subfield,2052933,0.19181869703241916
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,english_first:post_gpt,-0.010897467349039045,0.002281986350606767,-4.775430556866159,1.8300990889397184e-06,-0.015370860275257407,-0.006424074422820684,success,journal + subfield,2052933,0.19181869703241916
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,english_first:post_gpt:first_senior_10,-0.007771972063474112,0.001098866635663009,-7.072716389086504,1.6682211168017602e-12,-0.009926087592484716,-0.005617856534463507,success,journal + subfield,2052933,0.19181869703241916
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,first_senior_10,-0.0014251104438194682,0.00031434637037849953,-4.533567357890963,5.897102046903413e-06,-0.0020413257113909406,-0.0008088951762479957,success,journal + subfield,2052933,0.19181869703241916
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,log_paper_authors_count,-0.00565440742916489,0.000809110496931668,-6.988424264186035,3.0393465522138285e-12,-0.007240512084234693,-0.004068302774095086,success,journal + subfield,2052933,0.19181869703241916
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,log_paper_ref_count,0.03410221689548106,0.0013289754408442767,25.660532051530218,0.0,0.031497017554735676,0.03670741623622645,success,journal + subfield,2052933,0.19181869703241916
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,log_sentences_count,-0.03197008313847417,0.0015076016519509471,-21.20592206641757,0.0,-0.03492544462150814,-0.029014721655440206,success,journal + subfield,2052933,0.19181869703241916
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,post_gpt,0.07744290883251508,0.0016497906263437047,46.941052759007015,0.0,0.07420881336316008,0.08067700430187007,success,journal + subfield,2052933,0.19181869703241916
age,first,10,ai_use_intro_discussion,english_first,first_senior_10,post_gpt:first_senior_10,-0.0015336697958510275,0.0008296672327268849,-1.8485360580172394,0.06456743448792168,-0.003160071955972959,9.273236427090434e-05,success,journal + subfield,2052933,0.19181869703241916
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,english_first,0.009404041247800273,0.000823009305677503,11.426409377059043,0.0,0.0077906906660797914,0.011017391829520756,success,journal + subfield,2052933,0.19187381662547354
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,english_first:first_senior_15,0.0012260923237229395,0.0004941934712805034,2.480996603508369,0.01312512605116578,0.00025732159552744314,0.0021948630519184357,success,journal + subfield,2052933,0.19187381662547354
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,english_first:post_gpt,-0.011360952845108721,0.0021939480677555597,-5.178314387692476,2.302105008844535e-07,-0.015661763743551903,-0.007060141946665541,success,journal + subfield,2052933,0.19187381662547354
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,english_first:post_gpt:first_senior_15,-0.009312806806161698,0.001029080966157331,-9.049634686118479,0.0,-0.011330121025981691,-0.007295492586341706,success,journal + subfield,2052933,0.19187381662547354
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,first_senior_15,-0.001867693640409459,0.00032324293592040813,-5.777987491331721,7.888038444647805e-09,-0.0025013489042158914,-0.0012340383766030268,success,journal + subfield,2052933,0.19187381662547354
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,log_paper_authors_count,-0.005670277120958435,0.0008086288997291465,-7.012211810458069,2.567723811353062e-12,-0.007255437697848949,-0.004085116544067921,success,journal + subfield,2052933,0.19187381662547354
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,log_paper_ref_count,0.034072163536828515,0.0013309031530193156,25.600783542763175,0.0,0.031463185289164905,0.036681141784492124,success,journal + subfield,2052933,0.19187381662547354
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,log_sentences_count,-0.031979132662261274,0.0015078059474977537,-21.209050617774484,0.0,-0.03493489462720597,-0.029023370697316583,success,journal + subfield,2052933,0.19187381662547354
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,post_gpt,0.07689582953097726,0.0016385278396168804,46.92982790512549,0.0,0.0736838125768859,0.08010784648506862,success,journal + subfield,2052933,0.19187381662547354
age,first,15,ai_use_intro_discussion,english_first,first_senior_15,post_gpt:first_senior_15,-0.0007487665999294138,0.0008326582654990483,-0.8992483843064302,0.36855164050020894,-0.002381032101364288,0.0008834989015054605,success,journal + subfield,2052933,0.19187381662547354
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,english_first,0.00957670166805057,0.0008025731321773998,11.932497219373333,0.0,0.00800341225231823,0.01114999108378291,success,journal + subfield,2052933,0.1919269043486007
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,english_first:first_senior_20,0.001221311685087389,0.00048372629962697034,2.5247990155367073,0.011598596752005363,0.0002730598226686218,0.002169563547506156,success,journal + subfield,2052933,0.1919269043486007
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,english_first:post_gpt,-0.012428090981932854,0.0021431840841822586,-5.798891039579013,6.96937996202962e-09,-0.016629388907845287,-0.00822679305602042,success,journal + subfield,2052933,0.1919269043486007
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,english_first:post_gpt:first_senior_20,-0.008901546614355724,0.0009896981872120473,-8.994203212022786,0.0,-0.010841658512303017,-0.006961434716408432,success,journal + subfield,2052933,0.1919269043486007
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,first_senior_20,-0.0016129139737972222,0.00031508644693975307,-5.118957001998958,3.1550778900601983e-07,-0.002230580018343365,-0.0009952479292510796,success,journal + subfield,2052933,0.1919269043486007
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,log_paper_authors_count,-0.005687906592110818,0.0008065750985645102,-7.051924367902981,1.935340776526573e-12,-0.007269041089003395,-0.004106772095218241,success,journal + subfield,2052933,0.1919269043486007
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,log_paper_ref_count,0.03407324540163528,0.001331033589872955,25.599087551868255,0.0,0.03146401145774534,0.036682479345525223,success,journal + subfield,2052933,0.1919269043486007
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,log_sentences_count,-0.031979609678208565,0.0015083562891969272,-21.2016284927184,0.0,-0.034936450481623714,-0.02902276887479342,success,journal + subfield,2052933,0.1919269043486007
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,post_gpt,0.07744663937177439,0.0016742820475122429,46.256626526486166,0.0,0.07416453320762306,0.08072874553592571,success,journal + subfield,2052933,0.1919269043486007
age,first,20,ai_use_intro_discussion,english_first,first_senior_20,post_gpt:first_senior_20,-0.0025648160495140553,0.0008931616978014024,-2.871614463346984,0.0040962034741227615,-0.004315686829197555,-0.000813945269830555,success,journal + subfield,2052933,0.1919269043486007
age,last,10,ai_use_intro_discussion,english_last,last_senior_10,english_last,0.008395153727969857,0.001607694904516907,5.221857520592503,1.8237213206262481e-07,0.005243570789969877,0.011546736665969837,success,journal + subfield,2019216,0.19327195979074285
age,last,10,ai_use_intro_discussion,english_last,last_senior_10,english_last:last_senior_10,0.001705317298684449,0.0014465760322551024,1.1788646159344895,0.23849317924970204,-0.001130422448307419,0.004541057045676317,success,journal + subfield,2019216,0.19327195979074285
