indicator,order,level,english_a,top_a,group_a,english_b,top_b,group_b,difference_in_post_change,std_error,z_value,pvalue,lower,upper,used_terms,missing_or_absorbed_terms,outcome,eng_var,top_var,model_fe_type,n,r2,pvalue_holm
age,first,10,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.0016575128251743998,0.0008454184897076423,1.9605826526784282,0.04992772762595783,5.230334831746696e-07,0.003314502616865625,post_gpt:first_senior_10,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076,0.04992772762595783
age,first,10,0,0,"Non-English, less-established",1,0,"English, less-established",0.01854775859926186,0.002873309210191778,6.455190598168826,1.0808278583585275e-10,0.012916176030838746,0.024179341167684974,english_first:post_gpt,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076,4.32331143343411e-10
age,first,10,0,0,"Non-English, less-established",1,1,"English, more-established",0.027459061039098953,0.0017507266550879843,15.684379374299853,1.9344455971839355e-55,0.02402769984835223,0.030890422229845678,english_first:post_gpt; post_gpt:first_senior_10; english_first:post_gpt:first_senior_10,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076,1.1606673583103612e-54
age,first,10,0,1,"Non-English, more-established",1,0,"English, less-established",0.01689024577408746,0.0034629610488869193,4.877399871279637,1.0749338264475078e-06,0.010102966838404047,0.023677524709770872,english_first:post_gpt; post_gpt:first_senior_10,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076,2.1498676528950156e-06
age,first,10,0,1,"Non-English, more-established",1,1,"English, more-established",0.025801548213924552,0.0022551069232661955,11.441385748820615,2.597039034720669e-30,0.021381619863035876,0.030221476564813228,english_first:post_gpt:first_senior_10; english_first:post_gpt,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076,1.2985195173603345e-29
age,first,10,1,0,"English, less-established",1,1,"English, more-established",0.008911302439837093,0.0017818975238728708,5.001018476342453,5.702824647271353e-07,0.005418847468905166,0.01240375741076902,post_gpt:first_senior_10; english_first:post_gpt:first_senior_10,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076,1.710847394181406e-06
age,first,15,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.0017077346641853027,0.0009245746328591336,1.8470490142092075,0.0647400369203729,-0.00010439831723794242,0.003519867645608548,post_gpt:first_senior_15,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,1978736,0.193184288548908,0.0647400369203729
age,first,15,0,0,"Non-English, less-established",1,0,"English, less-established",0.01976481018205664,0.002642762004696208,7.478846050811395,7.497804280587796e-14,0.0145850918331412,0.024944528530972083,english_first:post_gpt,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,1978736,0.193184288548908,2.9991217122351184e-13
age,first,15,0,0,"Non-English, less-established",1,1,"English, more-established",0.02835433724369383,0.001747879658363852,16.222133547932952,3.5176022181554092e-59,0.024928556063990505,0.031780118423397154,post_gpt:first_senior_15; english_first:post_gpt; english_first:post_gpt:first_senior_15,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,1978736,0.193184288548908,2.1105613308932455e-58
age,first,15,0,1,"Non-English, more-established",1,0,"English, less-established",0.01805707551787134,0.0033296529651644312,5.423110368194065,5.857080277272241e-08,0.011531075625132054,0.024583075410610625,post_gpt:first_senior_15; english_first:post_gpt,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,1978736,0.193184288548908,1.1714160554544482e-07
age,first,15,0,1,"Non-English, more-established",1,1,"English, more-established",0.02664660257950853,0.00234436247379284,11.366246848508103,6.157885679630766e-30,0.022051736564167337,0.031241468594849723,english_first:post_gpt; english_first:post_gpt:first_senior_15,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,1978736,0.193184288548908,3.0789428398153827e-29
