indicator,order,level,english_a,top_a,group_a,english_b,top_b,group_b,difference_in_post_change,std_error,z_value,pvalue,lower,upper,used_terms,missing_or_absorbed_terms,outcome,eng_var,top_var,model_fe_type,n,r2,pvalue_holm
age,first,10,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.0005294118283439521,0.00022574904641921808,2.345134284026296,0.019020227905535873,8.695182781802375e-05,0.0009718718288698803,post_gpt:first_senior_10,,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413,0.02604011696503311
age,first,10,0,0,"Non-English, less-established",1,0,"English, less-established",0.001963911828899301,0.00046800765462879057,4.196324161528973,2.712818970757159e-05,0.001046633681337811,0.002881189976460791,english_first:post_gpt,,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413,8.138456912271477e-05
age,first,10,0,0,"Non-English, less-established",1,1,"English, more-established",0.004001477741682916,0.0003475374173595986,11.51380410225748,1.1240814615125602e-30,0.0033203169203780375,0.004682638562987795,english_first:post_gpt; post_gpt:first_senior_10; english_first:post_gpt:first_senior_10,,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413,6.74448876907536e-30
age,first,10,0,1,"Non-English, more-established",1,0,"English, less-established",0.0014345000005553487,0.0005776773303629599,2.483220173542277,0.013020058482516556,0.00030227323835870065,0.002566726762751997,english_first:post_gpt; post_gpt:first_senior_10,,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413,0.02604011696503311
age,first,10,0,1,"Non-English, more-established",1,1,"English, more-established",0.0034720659133389642,0.0004190713555174567,8.28514253629137,1.1796771538161803e-16,0.0026507011495723685,0.00429343067710556,english_first:post_gpt:first_senior_10; english_first:post_gpt,,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413,5.898385769080901e-16
age,first,10,1,0,"English, less-established",1,1,"English, more-established",0.0020375659127836155,0.00034611030731122194,5.887041991359821,3.931688464880033e-09,0.0013592021757755303,0.0027159296497917007,post_gpt:first_senior_10; english_first:post_gpt:first_senior_10,,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413,1.5726753859520132e-08
age,first,15,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.0006798206090836223,0.00024361553231896848,2.790547066570147,0.0052619049144542645,0.00020234293966389058,0.001157298278503354,post_gpt:first_senior_15,,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406,0.008936226099687593
age,first,15,0,0,"Non-English, less-established",1,0,"English, less-established",0.002227911770239506,0.00042470059581307376,5.2458409340685055,1.5557108338408928e-07,0.0013955138982331787,0.0030603096422458327,english_first:post_gpt,,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406,4.6671325015226784e-07
age,first,15,0,0,"Non-English, less-established",1,1,"English, more-established",0.004333188611187208,0.0003797895356176237,11.409447087952179,3.751060481775657e-30,0.003588814799671473,0.005077562422702942,post_gpt:first_senior_15; english_first:post_gpt; english_first:post_gpt:first_senior_15,,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406,2.2506362890653945e-29
age,first,15,0,1,"Non-English, more-established",1,0,"English, less-established",0.0015480911611558835,0.0005445137383756265,2.843070894361807,0.004468113049843797,0.00048086384485238986,0.002615318477459377,post_gpt:first_senior_15; english_first:post_gpt,,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406,0.008936226099687593
age,first,15,0,1,"Non-English, more-established",1,1,"English, more-established",0.0036533680021035853,0.0004499847445718634,8.118870797674644,4.70541119401392e-16,0.0027714141091502776,0.004535321895056893,english_first:post_gpt; english_first:post_gpt:first_senior_15,,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406,2.35270559700696e-15
age,first,15,1,0,"English, less-established",1,1,"English, more-established",0.0021052768409477018,0.0003044169765341293,6.91576686989292,4.653391240000327e-12,0.0015086305306582335,0.00270192315123717,post_gpt:first_senior_15; english_first:post_gpt:first_senior_15,,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406,1.8613564960001307e-11
age,first,20,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.0008998602434932398,0.00022939921680692634,3.9226822829591717,8.756859512209678e-05,0.00045024604046996875,0.0013494744465165109,post_gpt:first_senior_20,,ai_use_method_results,english_first,first_senior_20,journal + subfield,1454831,0.11831137543149384,0.00017513719024419357
age,first,20,0,0,"Non-English, less-established",1,0,"English, less-established",0.00249574746725343,0.00041350028782097465,6.0356607740354615,1.5831351698061653e-09,0.0016853017955273733,0.0033061931389794866,english_first:post_gpt,,ai_use_method_results,english_first,first_senior_20,journal + subfield,1454831,0.11831137543149384,4.7494055094184954e-09
