indicator,order,level,english_a,top_a,group_a,english_b,top_b,group_b,difference_in_post_change,std_error,z_value,pvalue,lower,upper,used_terms,missing_or_absorbed_terms,outcome,eng_var,top_var,model_fe_type,n,r2,pvalue_holm
age,first,10,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.0015336697958510275,0.0008296672327268849,1.8485360580172394,0.0645248330854818,-9.244809944667829e-05,0.0031597876911487336,post_gpt:first_senior_10,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916,0.0645248330854818
age,first,10,0,0,"Non-English, less-established",1,0,"English, less-established",0.010897467349039045,0.002281986350606767,4.775430556866159,1.7932316570662797e-06,0.0064248562886377895,0.0153700784094403,english_first:post_gpt,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916,5.379694971198839e-06
age,first,10,0,0,"Non-English, less-established",1,1,"English, more-established",0.020203109208364184,0.0014731195713880221,13.71450736298897,8.312908518788886e-43,0.01731584790352258,0.02309037051320579,english_first:post_gpt; post_gpt:first_senior_10; english_first:post_gpt:first_senior_10,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916,4.987745111273332e-42
age,first,10,0,1,"Non-English, more-established",1,0,"English, less-established",0.009363797553188018,0.0028617154870720094,3.2720924199102246,0.0010675467287586283,0.003754938264526381,0.014972656841849655,english_first:post_gpt; post_gpt:first_senior_10,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916,0.0021350934575172565
age,first,10,0,1,"Non-English, more-established",1,1,"English, more-established",0.01866943941251316,0.0019844188566676083,9.408013509740753,5.056018117260167e-21,0.014780049923202494,0.022558828901823823,english_first:post_gpt:first_senior_10; english_first:post_gpt,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916,2.5280090586300837e-20
age,first,10,1,0,"English, less-established",1,1,"English, more-established",0.009305641859325139,0.0013165398069991284,7.068257116004772,1.5689165668355525e-12,0.006725271253393533,0.011886012465256744,post_gpt:first_senior_10; english_first:post_gpt:first_senior_10,,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916,6.27566626734221e-12
age,first,15,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.0007487665999294138,0.0008326582654990483,0.8992483843064302,0.3685203736723166,-0.0008832136118783111,0.002380746811737139,post_gpt:first_senior_15,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354,0.3685203736723166
age,first,15,0,0,"Non-English, less-established",1,0,"English, less-established",0.011360952845108721,0.0021939480677555597,5.178314387692476,2.238996862442864e-07,0.007060893648356582,0.01566101204186086,english_first:post_gpt,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354,6.716990587328592e-07
age,first,15,0,0,"Non-English, less-established",1,1,"English, more-established",0.021422526251199833,0.001443528437176122,14.840390877998416,8.028677973541217e-50,0.018593262503675243,0.024251789998724422,post_gpt:first_senior_15; english_first:post_gpt; english_first:post_gpt:first_senior_15,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354,4.81720678412473e-49
age,first,15,0,1,"Non-English, more-established",1,0,"English, less-established",0.010612186245179308,0.002814244995820526,3.7708821587813475,0.00016267148070554332,0.005096367409699002,0.016128005080659615,post_gpt:first_senior_15; english_first:post_gpt,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354,0.00032534296141108665
age,first,15,0,1,"Non-English, more-established",1,1,"English, more-established",0.02067375965127042,0.001991862349208483,10.379110614488829,3.0863697336927578e-25,0.016769781184660448,0.02457773811788039,english_first:post_gpt; english_first:post_gpt:first_senior_15,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354,1.5431848668463789e-24
age,first,15,1,0,"English, less-established",1,1,"English, more-established",0.010061573406091111,0.0012603623887746495,7.983079704459589,1.427266775121014e-15,0.007591308516623928,0.012531838295558293,post_gpt:first_senior_15; english_first:post_gpt:first_senior_15,,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354,5.709067100484056e-15
age,first,20,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.0025648160495140553,0.0008931616978014024,2.871614463346984,0.004083808560145887,0.0008142512894526589,0.0043153808095754516,post_gpt:first_senior_20,,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007,0.004083808560145887
age,first,20,0,0,"Non-English, less-established",1,0,"English, less-established",0.012428090981932854,0.0021431840841822586,5.798891039579013,6.675488673181517e-09,0.008227527364696167,0.01662865459916954,english_first:post_gpt,,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007,2.002646601954455e-08
age,first,20,0,0,"Non-English, less-established",1,1,"English, more-established",0.023894453645802633,0.0015398784632745795,15.517103599845564,2.657797665866052e-54,0.020876347317215573,0.026912559974389693,post_gpt:first_senior_20; english_first:post_gpt; english_first:post_gpt:first_senior_20,,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007,1.5946785995196312e-53
age,first,20,0,1,"Non-English, more-established",1,0,"English, less-established",0.009863274932418798,0.0027878957889015082,3.5378922597049955,0.0004033345987647088,0.004399099593520961,0.015327450271316635,english_first:post_gpt; post_gpt:first_senior_20,,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007,0.0008066691975294176
age,first,20,0,1,"Non-English, more-established",1,1,"English, more-established",0.02132963759628858,0.0020960125754869155,10.176292759757697,2.5301766803122696e-24,0.017221528437191186,0.025437746755385973,english_first:post_gpt; english_first:post_gpt:first_senior_20,,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007,1.2650883401561349e-23
age,first,20,1,0,"English, less-established",1,1,"English, more-established",0.01146636266386978,0.0011570853726028743,9.909694595893205,3.777992411970659e-23,0.009198517006530037,0.013734208321209522,post_gpt:first_senior_20; english_first:post_gpt:first_senior_20,,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007,1.5111969647882635e-22
age,last,10,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.023507870472589395,0.002105887787445882,11.162926444955943,6.191917279457635e-29,0.019380406253712727,0.027635334691466062,post_gpt:last_senior_10,,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285,3.095958639728817e-28
age,last,10,0,0,"Non-English, less-established",1,0,"English, less-established",0.009716928473450267,0.004623353535529266,2.101705698856513,0.03557906406801339,0.0006553220560169791,0.018778534890883554,english_last:post_gpt,,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285,0.03557906406801339
age,last,10,0,0,"Non-English, less-established",1,1,"English, more-established",0.04060129241006323,0.0023405426382750324,17.346956960368033,2.079731660458916e-67,0.036013913134763806,0.045188671685362655,post_gpt:last_senior_10; english_last:post_gpt:last_senior_10; english_last:post_gpt,,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285,1.2478389962753498e-66
age,last,10,0,1,"Non-English, more-established",1,0,"English, less-established",-0.013790941999139128,0.005316564889036154,-2.593957242500487,0.009487828545657195,-0.02421121770312018,-0.003370666295158078,english_last:post_gpt; post_gpt:last_senior_10,,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285,0.01897565709131439
age,last,10,0,1,"Non-English, more-established",1,1,"English, more-established",0.017093421937473832,0.0015377376617414268,11.115954536820157,1.049225012726127e-28,0.014079511502789799,0.020107332372157866,english_last:post_gpt:last_senior_10; english_last:post_gpt,,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285,4.196900050904508e-28
age,last,10,1,0,"English, less-established",1,1,"English, more-established",0.030884363936612962,0.004200761233410477,7.352087448097792,1.951350670278517e-13,0.02265102321147637,0.039117704661749554,post_gpt:last_senior_10; english_last:post_gpt:last_senior_10,,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285,5.854052010835551e-13
age,last,15,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.02100059293195942,0.0017157623557170923,12.239802826996023,1.9049483723274185e-34,0.01763776050872432,0.024363425355194524,post_gpt:last_senior_15,,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568,7.619793489309674e-34
age,last,15,0,0,"Non-English, less-established",1,0,"English, less-established",0.010641709239852372,0.003688775432578313,2.8848894258695017,0.003915511601916149,0.0034118422449427198,0.017871576234762022,english_last:post_gpt,,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568,0.007831023203832298
age,last,15,0,0,"Non-English, less-established",1,1,"English, more-established",0.038857719567515915,0.002062446912741037,18.84059140017968,3.51021607223741e-79,0.03481539789851766,0.04290004123651417,english_last:post_gpt:last_senior_15; english_last:post_gpt; post_gpt:last_senior_15,,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568,2.1061296433424463e-78
age,last,15,0,1,"Non-English, more-established",1,0,"English, less-established",-0.01035888369210705,0.004378523235351748,-2.365839607397874,0.017989236004428172,-0.01894063153886827,-0.001777135845345829,english_last:post_gpt; post_gpt:last_senior_15,,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568,0.017989236004428172
age,last,15,0,1,"Non-English, more-established",1,1,"English, more-established",0.017857126635556494,0.00143407122698692,12.452050009451424,1.3629866413544295e-35,0.015046398679396965,0.020667854591716023,english_last:post_gpt:last_senior_15; english_last:post_gpt,,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568,6.814933206772148e-35
age,last,15,1,0,"English, less-established",1,1,"English, more-established",0.028216010327663545,0.0034667405581092336,8.139060265603668,3.983576644985652e-16,0.02142132369002516,0.03501069696530193,english_last:post_gpt:last_senior_15; post_gpt:last_senior_15,,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568,1.1950729934956957e-15
age,last,20,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.01939246407884696,0.001398494201537877,13.866674640139172,1.0084472030242611e-43,0.01665146581124462,0.022133462346449296,post_gpt:last_senior_20,,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496,5.042236015121306e-43
age,last,20,0,0,"Non-English, less-established",1,0,"English, less-established",0.012984198158652961,0.0031714605553364475,4.0940752476978295,4.2385665226456726e-05,0.006768249691804125,0.019200146625501797,english_last:post_gpt,,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496,8.477133045291345e-05
age,last,20,0,0,"Non-English, less-established",1,1,"English, more-established",0.036885832729534745,0.0018002735775308127,20.489015219634542,2.6979520758518612e-93,0.03335736135525528,0.04041430410381421,english_last:post_gpt:last_senior_20; english_last:post_gpt; post_gpt:last_senior_20,,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496,1.6187712455111167e-92
age,last,20,0,1,"Non-English, more-established",1,0,"English, less-established",-0.006408265920193997,0.003724569097770045,-1.720538873619158,0.08533453377731566,-0.01370828720975413,0.000891755369366135,english_last:post_gpt; post_gpt:last_senior_20,,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496,0.08533453377731566
age,last,20,0,1,"Non-English, more-established",1,1,"English, more-established",0.017493368650687787,0.0013808338711541607,12.668698976848006,8.8164510188058e-37,0.01478698399459261,0.020199753306782964,english_last:post_gpt:last_senior_20; english_last:post_gpt,,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496,3.52658040752232e-36
age,last,20,1,0,"English, less-established",1,1,"English, more-established",0.023901634570881784,0.0028579929987943425,8.363083667792328,6.109985149128906e-17,0.018300071225177246,0.029503197916586323,english_last:post_gpt:last_senior_20; post_gpt:last_senior_20,,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496,1.8329955447386717e-16
cit,first,1,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.008304159464504985,0.002088492115668045,3.97615073679545,7.0039739581183e-05,0.004210790135799756,0.012397528793210214,post_gpt:first_cumulative_cits_top1,,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098,0.000140079479162366
cit,first,1,0,0,"Non-English, less-established",1,0,"English, less-established",0.014435667607687686,0.002157631772933252,6.690514938080802,2.223866556559146e-11,0.010206787040839209,0.018664548174536163,english_first:post_gpt,,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098,6.671599669677438e-11
cit,first,1,0,0,"Non-English, less-established",1,1,"English, more-established",0.04155943979588081,0.002043997311729398,20.332433686381876,6.642481445022897e-92,0.0375532786803945,0.04556560091136712,post_gpt:first_cumulative_cits_top1; english_first:post_gpt; english_first:post_gpt:first_cumulative_cits_top1,,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098,3.985488867013738e-91
cit,first,1,0,1,"Non-English, more-established",1,0,"English, less-established",0.006131508143182701,0.003301598667142012,1.857133092584619,0.06329222109886709,-0.00033950633582108865,0.012602522622186491,english_first:post_gpt; post_gpt:first_cumulative_cits_top1,,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098,0.06329222109886709
cit,first,1,0,1,"Non-English, more-established",1,1,"English, more-established",0.03325528033137582,0.0031214241053023196,10.653880795911565,1.672441899628259e-26,0.027137401504508114,0.03937315915824353,english_first:post_gpt; english_first:post_gpt:first_cumulative_cits_top1,,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098,6.689767598513036e-26
cit,first,1,1,0,"English, less-established",1,1,"English, more-established",0.02712377218819312,0.0022822847286456055,11.884482180402355,1.4251553048804564e-32,0.022650576317581966,0.03159696805880428,post_gpt:first_cumulative_cits_top1; english_first:post_gpt:first_cumulative_cits_top1,,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098,7.125776524402282e-32
cit,first,5,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.00639908528852292,0.0009942716500009408,6.435952678040116,1.227012602712067e-10,0.004450348663671862,0.008347821913373977,post_gpt:first_cumulative_cits_top5,,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086,3.681037808136201e-10
cit,first,5,0,0,"Non-English, less-established",1,0,"English, less-established",0.01394119771025312,0.002176708944000457,6.4047137531540335,1.506517550815995e-10,0.009674926575186012,0.018207468845320228,english_first:post_gpt,,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086,3.681037808136201e-10
cit,first,5,0,0,"Non-English, less-established",1,1,"English, more-established",0.03034265916928513,0.0017757759748978665,17.08698597019271,1.8551797223190507e-65,0.026862202213873806,0.03382311612469645,post_gpt:first_cumulative_cits_top5; english_first:post_gpt; english_first:post_gpt:first_cumulative_cits_top5,,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086,1.1131078333914305e-64
cit,first,5,0,1,"Non-English, more-established",1,0,"English, less-established",0.007542112421730201,0.0025828043012969277,2.9201253915920033,0.0034989057209140503,0.0024799090120730845,0.012604315831387318,post_gpt:first_cumulative_cits_top5; english_first:post_gpt,,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086,0.0034989057209140503
cit,first,5,0,1,"Non-English, more-established",1,1,"English, more-established",0.02394357388076221,0.00204275775566523,11.721200819998803,9.92550043523986e-32,0.019939842250518487,0.02794730551100593,english_first:post_gpt; english_first:post_gpt:first_cumulative_cits_top5,,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086,4.96275021761993e-31
cit,first,5,1,0,"English, less-established",1,1,"English, more-established",0.016401461459032006,0.001521212062640893,10.781837629237785,4.194218830600959e-27,0.013419940603407968,0.019382982314656044,post_gpt:first_cumulative_cits_top5; english_first:post_gpt:first_cumulative_cits_top5,,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086,1.6776875322403835e-26
cit,first,10,0,0,"Non-English, less-established",0,1,"Non-English, more-established",0.006664597691908665,0.0007765342110261713,8.58249076122681,9.284059102502423e-18,0.0051426186055341435,0.008186576778283187,post_gpt:first_cumulative_cits_top10,,ai_use_intro_discussion,english_first,first_cumulative_cits_top10,journal + subfield,2052933,0.19189157382812305,2.7852177307507266e-17
