indicator,order,level,english,top,group,ai_post_relative_change,std_error,lower,upper,outcome,eng_var,top_var,model_fe_type,n,r2
age,first,10,0,0,"Non-English, less-established",0.07873787203171254,0.001739483797361011,0.07532854643719399,0.08214719762623109,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076
age,first,10,0,1,"Non-English, more-established",0.07708035920653813,0.0017415742386773629,0.07366693642232774,0.08049378199074853,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076
age,first,10,1,0,"English, less-established",0.060190113432450676,0.0035144698461938304,0.05330187910915875,0.0670783477557426,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076
age,first,10,1,1,"English, more-established",0.05127881099261358,0.002264733150697275,0.046840015582653,0.055717606402574164,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,1978736,0.19315162486021076
age,first,15,0,0,"Non-English, less-established",0.0785526732799982,0.001722782115219941,0.07517608238095738,0.08192926417903901,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,1978736,0.193184288548908
age,first,15,0,1,"Non-English, more-established",0.07684493861581289,0.0017863323198233218,0.0733437916045393,0.08034608562708648,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,1978736,0.193184288548908
age,first,15,1,0,"English, less-established",0.05878786309794155,0.0032489193139108937,0.05242009825399962,0.06515562794188348,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,1978736,0.193184288548908
age,first,15,1,1,"English, more-established",0.05019833603630436,0.0021997782619247843,0.04588684986895766,0.054509822203651054,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,1978736,0.193184288548908
age,first,20,0,0,"Non-English, less-established",0.07895425605058201,0.0017330732034739637,0.07555749498920158,0.08235101711196244,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,1978736,0.19322354752678372
age,first,20,0,1,"Non-English, more-established",0.07546247463924151,0.0017694026415016257,0.07199450918774829,0.07893044009073473,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,1978736,0.19322354752678372
age,first,20,1,0,"English, less-established",0.05826775997497153,0.003111630210968382,0.05216907682826673,0.06436644312167633,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,1978736,0.19322354752678372
age,first,20,1,1,"English, more-established",0.048752338915218775,0.0021772582837326433,0.0444849910940613,0.05301968673637625,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,1978736,0.19322354752678372
age,last,10,0,0,"Non-English, less-established",0.09961680141811108,0.0031749977574518206,0.09339392016251007,0.10583968267371209,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,1950463,0.19440452491236293
age,last,10,0,1,"Non-English, more-established",0.07452043171776114,0.0014998326149220054,0.07158081380967547,0.07746004962584681,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,1950463,0.19440452491236293
age,last,10,1,0,"English, less-established",0.08136711013097785,0.006803344800850876,0.0680327993469023,0.09470142091505339,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,1950463,0.19440452491236293
age,last,10,1,1,"English, more-established",0.05247466340663405,0.002093630123208444,0.048371223768197344,0.05657810304507076,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,1950463,0.19440452491236293
age,last,15,0,0,"Non-English, less-established",0.09518450385727585,0.002726561273570782,0.08984054195943546,0.10052846575511624,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,1950463,0.1950674112439459
age,last,15,0,1,"Non-English, more-established",0.07280591799923299,0.0014378448346572274,0.06998779390794788,0.0756240420905181,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,1950463,0.1950674112439459
age,last,15,1,0,"English, less-established",0.07609851160765292,0.005567710195866629,0.06518600014739788,0.08701102306790796,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,1950463,0.1950674112439459
age,last,15,1,1,"English, more-established",0.0506421734606244,0.0019213398342068399,0.046876416583516836,0.05440793033773196,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,1950463,0.1950674112439459
age,last,20,0,0,"Non-English, less-established",0.09093677452399876,0.0023450459885431874,0.08634056884436399,0.09553298020363353,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,1950463,0.1952247784772132
age,last,20,0,1,"Non-English, more-established",0.07024960860211416,0.0013605431130930055,0.06758299310103785,0.07291622410319046,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,1950463,0.1952247784772132
age,last,20,1,0,"English, less-established",0.06935512100503927,0.00452697289122207,0.06048241717925485,0.07822782483082369,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,1950463,0.1952247784772132
age,last,20,1,1,"English, more-established",0.049197545263285444,0.0018417031132345926,0.04558787349113035,0.052807217035440536,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,1950463,0.1952247784772132
cit,first,1,0,0,"Non-English, less-established",0.07790065302588531,0.0016886028927845433,0.07459105217183745,0.08121025387993316,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,1978736,0.1931222696617737
cit,first,1,0,1,"Non-English, more-established",0.0695382145883486,0.002542649475692517,0.06455471319068162,0.07452171598601559,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,1978736,0.1931222696617737
cit,first,1,1,0,"English, less-established",0.05593012465087699,0.002848054382992484,0.05034804063420027,0.061512208667553706,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,1978736,0.1931222696617737
cit,first,1,1,1,"English, more-established",0.031091919617723222,0.0023412322374031643,0.026503188752968893,0.03568065048247755,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,1978736,0.1931222696617737
cit,first,5,0,0,"Non-English, less-established",0.07819277941488648,0.001682990613006776,0.0748941784270742,0.08149138040269875,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,1978736,0.19316631840872367
cit,first,5,0,1,"Non-English, more-established",0.072796664781046,0.0020200798053563755,0.06883738111665083,0.07675594844544117,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,1978736,0.19316631840872367
cit,first,5,1,0,"English, less-established",0.056928999360183453,0.0029230762177937315,0.05119987524924218,0.06265812347112473,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,1978736,0.19316631840872367
cit,first,5,1,1,"English, more-established",0.04133148636033752,0.001991295568759562,0.037428618762994574,0.04523435395768046,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,1978736,0.19316631840872367
cit,first,10,0,0,"Non-English, less-established",0.07870719529354202,0.0016797820878864513,0.07541488289940908,0.08199950768767496,ai_use_intro_discussion,english_first,first_cumulative_cits_top10,journal + subfield,1978736,0.19319315378897894
cit,first,10,0,1,"Non-English, more-established",0.07274556390544999,0.0018999874147743584,0.06902165700141288,0.0764694708094871,ai_use_intro_discussion,english_first,first_cumulative_cits_top10,journal + subfield,1978736,0.19319315378897894
cit,first,10,1,0,"English, less-established",0.057914543344770475,0.003050835925724782,0.05193501480760899,0.06389407188193197,ai_use_intro_discussion,english_first,first_cumulative_cits_top10,journal + subfield,1978736,0.19319315378897894
cit,first,10,1,1,"English, more-established",0.044328474921443956,0.0018780004057099638,0.04064766176330082,0.04800928807958709,ai_use_intro_discussion,english_first,first_cumulative_cits_top10,journal + subfield,1978736,0.19319315378897894
cit,first,20,0,0,"Non-English, less-established",0.07950510466021023,0.0017121050791110148,0.07614944036740454,0.08286076895301592,ai_use_intro_discussion,english_first,first_cumulative_cits_top20,journal + subfield,1978736,0.193190347818894
cit,first,20,0,1,"Non-English, more-established",0.0740390670090326,0.001730329088830751,0.07064768431352231,0.07743044970454288,ai_use_intro_discussion,english_first,first_cumulative_cits_top20,journal + subfield,1978736,0.193190347818894
cit,first,20,1,0,"English, less-established",0.059325730415968086,0.0033586487369378225,0.052742899854849014,0.06590856097708717,ai_use_intro_discussion,english_first,first_cumulative_cits_top20,journal + subfield,1978736,0.193190347818894
cit,first,20,1,1,"English, more-established",0.04781629785847033,0.001890139532106287,0.04411169244978662,0.05152090326715404,ai_use_intro_discussion,english_first,first_cumulative_cits_top20,journal + subfield,1978736,0.193190347818894
cit,last,1,0,0,"Non-English, less-established",0.0786079216936457,0.001690768512083971,0.07529407630376674,0.08192176708352465,ai_use_intro_discussion,english_last,last_cumulative_cits_top1,journal + subfield,1950463,0.19301706133096264
cit,last,1,0,1,"Non-English, more-established",0.057893160182630035,0.0014748012365752923,0.055002602874587324,0.060783717490672746,ai_use_intro_discussion,english_last,last_cumulative_cits_top1,journal + subfield,1950463,0.19301706133096264
cit,last,1,1,0,"English, less-established",0.05809592880666978,0.002913272895482161,0.052386018854388025,0.06380583875895153,ai_use_intro_discussion,english_last,last_cumulative_cits_top1,journal + subfield,1950463,0.19301706133096264
cit,last,1,1,1,"English, more-established",0.03778839757911481,0.0014479243756089233,0.03495051795058368,0.040626277207645944,ai_use_intro_discussion,english_last,last_cumulative_cits_top1,journal + subfield,1950463,0.19301706133096264
cit,last,5,0,0,"Non-English, less-established",0.08296392066396917,0.0018313967983713852,0.07937444889775928,0.08655339243017905,ai_use_intro_discussion,english_last,last_cumulative_cits_top5,journal + subfield,1950463,0.19466084700336195
cit,last,5,0,1,"Non-English, more-established",0.0607282785001237,0.001340693267797097,0.05810056798092608,0.06335598901932132,ai_use_intro_discussion,english_last,last_cumulative_cits_top5,journal + subfield,1950463,0.19466084700336195
cit,last,5,1,0,"English, less-established",0.06412340615639915,0.0034846649894269633,0.05729358827893465,0.07095322403386364,ai_use_intro_discussion,english_last,last_cumulative_cits_top5,journal + subfield,1950463,0.19466084700336195
cit,last,5,1,1,"English, more-established",0.04299710136005698,0.0014754284507407234,0.040105314734839435,0.045888887985274525,ai_use_intro_discussion,english_last,last_cumulative_cits_top5,journal + subfield,1950463,0.19466084700336195
cit,last,10,0,0,"Non-English, less-established",0.08684438982498881,0.002009072421390861,0.08290668023673003,0.09078209941324758,ai_use_intro_discussion,english_last,last_cumulative_cits_top10,journal + subfield,1950463,0.1953043219056797
cit,last,10,0,1,"Non-English, more-established",0.06445145553542392,0.0012894759444133349,0.06192412912544301,0.06697878194540482,ai_use_intro_discussion,english_last,last_cumulative_cits_top10,journal + subfield,1950463,0.1953043219056797
cit,last,10,1,0,"English, less-established",0.06933879865052431,0.0042167833269876175,0.061074055199019595,0.07760354210202902,ai_use_intro_discussion,english_last,last_cumulative_cits_top10,journal + subfield,1950463,0.1953043219056797
cit,last,10,1,1,"English, more-established",0.04587308342844147,0.0015672084371868337,0.042801411335287975,0.04894475552159497,ai_use_intro_discussion,english_last,last_cumulative_cits_top10,journal + subfield,1950463,0.1953043219056797
cit,last,20,0,0,"Non-English, less-established",0.09278835610302508,0.0023092272817564637,0.08826235379866508,0.09731435840738507,ai_use_intro_discussion,english_last,last_cumulative_cits_top20,journal + subfield,1950463,0.19552824365686006
cit,last,20,0,1,"Non-English, more-established",0.06872732789116902,0.0013502362213405623,0.06608091352672006,0.07137374225561798,ai_use_intro_discussion,english_last,last_cumulative_cits_top20,journal + subfield,1950463,0.19552824365686006
cit,last,20,1,0,"English, less-established",0.07543170068329813,0.005333798326999385,0.06497764806157934,0.08588575330501692,ai_use_intro_discussion,english_last,last_cumulative_cits_top20,journal + subfield,1950463,0.19552824365686006
cit,last,20,1,1,"English, more-established",0.04921761756937417,0.0017006929471162632,0.045884320644265016,0.052550914494483326,ai_use_intro_discussion,english_last,last_cumulative_cits_top20,journal + subfield,1950463,0.19552824365686006
ins,first,100,0,0,"Non-English, less-established",0.07944773811372334,0.001770715323079035,0.07597719985361523,0.08291827637383145,ai_use_intro_discussion,english_first,first_top100_ins,journal + subfield,1962592,0.1937738098264028
ins,first,100,0,1,"Non-English, more-established",0.0595029363411564,0.0012349689298419284,0.05708244171664025,0.06192343096567255,ai_use_intro_discussion,english_first,first_top100_ins,journal + subfield,1962592,0.1937738098264028
ins,first,100,1,0,"English, less-established",0.06122382542126119,0.0031921391540157646,0.054967347645750134,0.06748030319677224,ai_use_intro_discussion,english_first,first_top100_ins,journal + subfield,1962592,0.1937738098264028
ins,first,100,1,1,"English, more-established",0.03834200655434869,0.0013173579042869555,0.035760032507197094,0.040923980601500286,ai_use_intro_discussion,english_first,first_top100_ins,journal + subfield,1962592,0.1937738098264028
ins,first,200,0,0,"Non-English, less-established",0.08129081074349527,0.0018639718121649434,0.07763749312345412,0.08494412836353642,ai_use_intro_discussion,english_first,first_top200_ins,journal + subfield,1962592,0.19418375505394603
ins,first,200,0,1,"Non-English, more-established",0.06241209422029316,0.0011856504509637255,0.06008826203815058,0.06473592640243574,ai_use_intro_discussion,english_first,first_top200_ins,journal + subfield,1962592,0.19418375505394603
ins,first,200,1,0,"English, less-established",0.06292071724138742,0.0033497857486350004,0.05635525781813728,0.06948617666463756,ai_use_intro_discussion,english_first,first_top200_ins,journal + subfield,1962592,0.19418375505394603
ins,first,200,1,1,"English, more-established",0.04063240817205895,0.001399226941267427,0.03788997376097665,0.043374842583141254,ai_use_intro_discussion,english_first,first_top200_ins,journal + subfield,1962592,0.19418375505394603
ins,first,300,0,0,"Non-English, less-established",0.08249266457625079,0.001962409685186466,0.07864641227037274,0.08633891688212884,ai_use_intro_discussion,english_first,first_top300_ins,journal + subfield,1962592,0.19441629835788532
ins,first,300,0,1,"Non-English, more-established",0.06321153452363384,0.001140102134553768,0.06097697540121122,0.06544609364605647,ai_use_intro_discussion,english_first,first_top300_ins,journal + subfield,1962592,0.19441629835788532
ins,first,300,1,0,"English, less-established",0.06451259891159515,0.0034996454147942276,0.05765341993993773,0.07137177788325258,ai_use_intro_discussion,english_first,first_top300_ins,journal + subfield,1962592,0.19441629835788532
ins,first,300,1,1,"English, more-established",0.04259459302081203,0.0014858441234670288,0.03968239205217617,0.045506793989447895,ai_use_intro_discussion,english_first,first_top300_ins,journal + subfield,1962592,0.19441629835788532
ins,last,100,0,0,"Non-English, less-established",0.07926788186976817,0.0017436539004038547,0.07585038302347383,0.08268538071606252,ai_use_intro_discussion,english_last,last_top100_ins,journal + subfield,1919166,0.1933339880258338
ins,last,100,0,1,"Non-English, more-established",0.05985271645184483,0.0012530756825179176,0.057396733244206764,0.0623086996594829,ai_use_intro_discussion,english_last,last_top100_ins,journal + subfield,1919166,0.1933339880258338
ins,last,100,1,0,"English, less-established",0.061922340992440754,0.003171850610176734,0.05570562803215296,0.06813905395272855,ai_use_intro_discussion,english_last,last_top100_ins,journal + subfield,1919166,0.1933339880258338
ins,last,100,1,1,"English, more-established",0.039622145866965996,0.0013142074811560828,0.037046346535686975,0.04219794519824502,ai_use_intro_discussion,english_last,last_top100_ins,journal + subfield,1919166,0.1933339880258338
ins,last,200,0,0,"Non-English, less-established",0.08107625209137816,0.0018280711586679487,0.07749329845921257,0.08465920572354374,ai_use_intro_discussion,english_last,last_top200_ins,journal + subfield,1919166,0.1937214938781857
ins,last,200,0,1,"Non-English, more-established",0.06283552634663138,0.0011879052607631428,0.060507274818489956,0.0651637778747728,ai_use_intro_discussion,english_last,last_top200_ins,journal + subfield,1919166,0.1937214938781857
ins,last,200,1,0,"English, less-established",0.06360996429023967,0.0033401884147384723,0.057063315295774325,0.07015661328470502,ai_use_intro_discussion,english_last,last_top200_ins,journal + subfield,1919166,0.1937214938781857
ins,last,200,1,1,"English, more-established",0.04190039858083887,0.001415605955720545,0.0391258618913262,0.04467493527035154,ai_use_intro_discussion,english_last,last_top200_ins,journal + subfield,1919166,0.1937214938781857
ins,last,300,0,0,"Non-English, less-established",0.08239506486908567,0.0019245665175372522,0.07862298380886099,0.08616714592931035,ai_use_intro_discussion,english_last,last_top300_ins,journal + subfield,1919166,0.19398493516910809
ins,last,300,0,1,"Non-English, more-established",0.06337235549429446,0.0011365303344865814,0.0611447969713635,0.06559991401722542,ai_use_intro_discussion,english_last,last_top300_ins,journal + subfield,1919166,0.19398493516910809
ins,last,300,1,0,"English, less-established",0.0652482742802559,0.003483626638933499,0.05842049153236192,0.07207605702814987,ai_use_intro_discussion,english_last,last_top300_ins,journal + subfield,1919166,0.19398493516910809
ins,last,300,1,1,"English, more-established",0.043753006581763454,0.001492616092856408,0.04082753279702,0.04667848036650691,ai_use_intro_discussion,english_last,last_top300_ins,journal + subfield,1919166,0.19398493516910809
pub,first,1,0,0,"Non-English, less-established",0.07784563849116247,0.0016808985275777047,0.07455113791544375,0.08114013906688118,ai_use_intro_discussion,english_first,first_cumulative_pubs_top1,journal + subfield,1978736,0.19296577063690445
pub,first,1,0,1,"Non-English, more-established",0.07463198854701553,0.002670764661806745,0.06939738599869201,0.07986659109533904,ai_use_intro_discussion,english_first,first_cumulative_pubs_top1,journal + subfield,1978736,0.19296577063690445
pub,first,1,1,0,"English, less-established",0.05561018674633371,0.002838207829911727,0.05004740161906714,0.061172971873600275,ai_use_intro_discussion,english_first,first_cumulative_pubs_top1,journal + subfield,1978736,0.19296577063690445
pub,first,1,1,1,"English, more-established",0.03896886749219192,0.002902473172814982,0.03328012460738086,0.044657610377002985,ai_use_intro_discussion,english_first,first_cumulative_pubs_top1,journal + subfield,1978736,0.19296577063690445
pub,first,5,0,0,"Non-English, less-established",0.07796770891483111,0.0016845744038082825,0.07466600375408884,0.08126941407557338,ai_use_intro_discussion,english_first,first_cumulative_pubs_top5,journal + subfield,1978736,0.19301443223345183
pub,first,5,0,1,"Non-English, more-established",0.07587454565009827,0.002033880740795104,0.07188821264929023,0.07986087865090631,ai_use_intro_discussion,english_first,first_cumulative_pubs_top5,journal + subfield,1978736,0.19301443223345183
pub,first,5,1,0,"English, less-established",0.05633242399498593,0.002917862111662638,0.050613519344273175,0.06205132864569869,ai_use_intro_discussion,english_first,first_cumulative_pubs_top5,journal + subfield,1978736,0.19301443223345183
pub,first,5,1,1,"English, more-established",0.04398166906755238,0.002123551977758126,0.03981958367184765,0.04814375446325711,ai_use_intro_discussion,english_first,first_cumulative_pubs_top5,journal + subfield,1978736,0.19301443223345183
pub,first,10,0,0,"Non-English, less-established",0.07828668663061135,0.0016872236516483855,0.07497978903951635,0.08159358422170634,ai_use_intro_discussion,english_first,first_cumulative_pubs_top10,journal + subfield,1978736,0.19299456048856067
pub,first,10,0,1,"Non-English, more-established",0.07532398496938764,0.0019038204708206224,0.07159256541354912,0.07905540452522615,ai_use_intro_discussion,english_first,first_cumulative_pubs_top10,journal + subfield,1978736,0.19299456048856067
pub,first,10,1,0,"English, less-established",0.05671796799529899,0.00300614389675214,0.0508260342253199,0.06260990176527809,ai_use_intro_discussion,english_first,first_cumulative_pubs_top10,journal + subfield,1978736,0.19299456048856067
pub,first,10,1,1,"English, more-established",0.0477574297705988,0.002078216596901409,0.04368420008859864,0.05183065945259895,ai_use_intro_discussion,english_first,first_cumulative_pubs_top10,journal + subfield,1978736,0.19299456048856067
pub,first,20,0,0,"Non-English, less-established",0.07896752056544584,0.0017089093288065729,0.07561811982814044,0.08231692130275124,ai_use_intro_discussion,english_first,first_cumulative_pubs_top20,journal + subfield,1978736,0.1929977980242995
pub,first,20,0,1,"Non-English, more-established",0.07522450280011064,0.0017753640943212396,0.07174485311579544,0.07870415248442585,ai_use_intro_discussion,english_first,first_cumulative_pubs_top20,journal + subfield,1978736,0.1929977980242995
pub,first,20,1,0,"English, less-established",0.05754669961553448,0.0032223277758834765,0.05123105322841981,0.06386234600264915,ai_use_intro_discussion,english_first,first_cumulative_pubs_top20,journal + subfield,1978736,0.1929977980242995
pub,first,20,1,1,"English, more-established",0.050039032151309615,0.0020766677805768765,0.04596883809352421,0.05410922620909502,ai_use_intro_discussion,english_first,first_cumulative_pubs_top20,journal + subfield,1978736,0.1929977980242995
pub,last,1,0,0,"Non-English, less-established",0.07927085420756948,0.0017468031467950946,0.07584718295176986,0.0826945254633691,ai_use_intro_discussion,english_last,last_cumulative_pubs_top1,journal + subfield,1950463,0.19277254444810932
pub,last,1,0,1,"Non-English, more-established",0.062402688326001106,0.001306911733856966,0.05984118839666865,0.06496418825533355,ai_use_intro_discussion,english_last,last_cumulative_pubs_top1,journal + subfield,1950463,0.19277254444810932
pub,last,1,1,0,"English, less-established",0.05683656037755952,0.002971582691294418,0.051012365325539856,0.06266075542957919,ai_use_intro_discussion,english_last,last_cumulative_pubs_top1,journal + subfield,1950463,0.19277254444810932
pub,last,1,1,1,"English, more-established",0.04730137900264454,0.0018617092068633665,0.04365249600750572,0.050950261997783367,ai_use_intro_discussion,english_last,last_cumulative_pubs_top1,journal + subfield,1950463,0.19277254444810932
pub,last,5,0,0,"Non-English, less-established",0.08374609107412943,0.001954216661088362,0.07991589680040813,0.08757628534785074,ai_use_intro_discussion,english_last,last_cumulative_pubs_top5,journal + subfield,1950463,0.19382626638024147
pub,last,5,0,1,"Non-English, more-established",0.06551509177858626,0.001256590060667893,0.0630522205163462,0.06797796304082633,ai_use_intro_discussion,english_last,last_cumulative_pubs_top5,journal + subfield,1950463,0.19382626638024147
pub,last,5,1,0,"English, less-established",0.06031751592335767,0.003705128218162525,0.053055598057656056,0.06757943378905928,ai_use_intro_discussion,english_last,last_cumulative_pubs_top5,journal + subfield,1950463,0.19382626638024147
pub,last,5,1,1,"English, more-established",0.048611752067631825,0.0017042716369886505,0.04527144103926095,0.0519520630960027,ai_use_intro_discussion,english_last,last_cumulative_pubs_top5,journal + subfield,1950463,0.19382626638024147
pub,last,10,0,0,"Non-English, less-established",0.08756199313719297,0.002164156010888684,0.08332032529892527,0.09180366097546067,ai_use_intro_discussion,english_last,last_cumulative_pubs_top10,journal + subfield,1950463,0.19435801583648205
pub,last,10,0,1,"Non-English, more-established",0.06811070392743318,0.0012949961769206037,0.06557255806055173,0.07064884979431463,ai_use_intro_discussion,english_last,last_cumulative_pubs_top10,journal + subfield,1950463,0.19435801583648205
pub,last,10,1,0,"English, less-established",0.06393318908678469,0.00442898371166526,0.05525254052380625,0.07261383764976313,ai_use_intro_discussion,english_last,last_cumulative_pubs_top10,journal + subfield,1950463,0.19435801583648205
pub,last,10,1,1,"English, more-established",0.04963259534716086,0.0017268227668610656,0.046248084916429365,0.05301710577789235,ai_use_intro_discussion,english_last,last_cumulative_pubs_top10,journal + subfield,1950463,0.19435801583648205
