indicator,order,level,english,top,group,ai_post_relative_change,std_error,lower,upper,outcome,eng_var,top_var,model_fe_type,n,r2
age,first,10,0,0,"Non-English, less-established",0.009953992254873329,0.00045572847264983775,0.0090607808617502,0.010847203647996458,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413
age,first,10,0,1,"Non-English, more-established",0.009424580426529376,0.0004385485347608007,0.008565041092925395,0.010284119760133357,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413
age,first,10,1,0,"English, less-established",0.007990080425974029,0.0005939428397387413,0.0068259738512106505,0.009154187000737408,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413
age,first,10,1,1,"English, more-established",0.0059525145131904145,0.0003739788907282286,0.005219529356384846,0.006685499669995983,ai_use_method_results,english_first,first_senior_10,journal + subfield,1454831,0.11830790068562413
age,first,15,0,0,"Non-English, less-established",0.00994685540018642,0.00044932857891257617,0.009066187568293207,0.010827523232079632,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406
age,first,15,0,1,"Non-English, more-established",0.009267034791102798,0.00044664894455327805,0.008391618946045546,0.01014245063616005,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406
age,first,15,1,0,"English, less-established",0.007718943629946914,0.0005412405159216114,0.006658131711766678,0.00877975554812715,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406
age,first,15,1,1,"English, more-established",0.005613666788999214,0.0003664309389224172,0.00489547534589008,0.006331858232108347,ai_use_method_results,english_first,first_senior_15,journal + subfield,1454831,0.11832268285412406
age,first,20,0,0,"Non-English, less-established",0.009942118421975756,0.0004449472413754233,0.009070037853859476,0.010814198990092037,ai_use_method_results,english_first,first_senior_20,journal + subfield,1454831,0.11831137543149384
age,first,20,0,1,"Non-English, more-established",0.009042258178482516,0.0004433586731222869,0.008173291146929367,0.009911225210035665,ai_use_method_results,english_first,first_senior_20,journal + subfield,1454831,0.11831137543149384
age,first,20,1,0,"English, less-established",0.007446370954722326,0.0005093331952634684,0.006448096235875221,0.008444645673569432,ai_use_method_results,english_first,first_senior_20,journal + subfield,1454831,0.11831137543149384
age,first,20,1,1,"English, more-established",0.005531449485410704,0.0003820323369216628,0.004782679864114573,0.006280219106706834,ai_use_method_results,english_first,first_senior_20,journal + subfield,1454831,0.11831137543149384
age,last,10,0,0,"Non-English, less-established",0.015931292736913547,0.00082566434030516,0.01431302036659641,0.017549565107230682,ai_use_method_results,english_last,last_senior_10,journal + subfield,1444004,0.11931048044907644
age,last,10,0,1,"Non-English, more-established",0.00870869142799206,0.0003679620844713378,0.007987498994751952,0.009429883861232167,ai_use_method_results,english_last,last_senior_10,journal + subfield,1444004,0.11931048044907644
age,last,10,1,0,"English, less-established",0.01487692742991542,0.0012875555222862896,0.012353364978138635,0.017400489881692207,ai_use_method_results,english_last,last_senior_10,journal + subfield,1444004,0.11931048044907644
age,last,10,1,1,"English, more-established",0.006005379168417693,0.00033977025210080267,0.005339441711282025,0.006671316625553361,ai_use_method_results,english_last,last_senior_10,journal + subfield,1444004,0.11931048044907644
age,last,15,0,0,"Non-English, less-established",0.0144074847065216,0.0006794387591597524,0.013075809208867901,0.015739160204175297,ai_use_method_results,english_last,last_senior_15,journal + subfield,1444004,0.11945656996962761
age,last,15,0,1,"Non-English, more-established",0.008268781503136863,0.00035207784073259,0.007578721615546357,0.00895884139072737,ai_use_method_results,english_last,last_senior_15,journal + subfield,1444004,0.11945656996962761
age,last,15,1,0,"English, less-established",0.012160157420667003,0.0011659979596556277,0.009874843413694784,0.01444547142763922,ai_use_method_results,english_last,last_senior_15,journal + subfield,1444004,0.11945656996962761
age,last,15,1,1,"English, more-established",0.005702707748052728,0.0003047445019633577,0.005105419499717951,0.006299995996387505,ai_use_method_results,english_last,last_senior_15,journal + subfield,1444004,0.11945656996962761
age,last,20,0,0,"Non-English, less-established",0.012950355584875058,0.0005886719007012547,0.011796579860789861,0.014104131308960256,ai_use_method_results,english_last,last_senior_20,journal + subfield,1444004,0.11934695168786102
age,last,20,0,1,"Non-English, more-established",0.0076970552914292865,0.00032445531208502245,0.007061134565149939,0.008332976017708634,ai_use_method_results,english_last,last_senior_20,journal + subfield,1444004,0.11934695168786102
age,last,20,1,0,"English, less-established",0.010206892915547168,0.0008481639439803643,0.008544522132360205,0.011869263698734131,ai_use_method_results,english_last,last_senior_20,journal + subfield,1444004,0.11934695168786102
age,last,20,1,1,"English, more-established",0.005382753608843488,0.00029823083537658813,0.004798231912426082,0.005967275305260895,ai_use_method_results,english_last,last_senior_20,journal + subfield,1444004,0.11934695168786102
