indicator,order,level,english,top,group,ai_post_relative_change,std_error,lower,upper,outcome,eng_var,top_var,model_fe_type,n,r2
age,first,10,0,0,"Non-English, less-established",0.07744290883251508,0.0016497906263437047,0.07420937862284964,0.08067643904218051,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916
age,first,10,0,1,"Non-English, more-established",0.07590923903666405,0.001740766577829076,0.07249739923862802,0.07932107883470008,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916
age,first,10,1,0,"English, less-established",0.06654544148347603,0.002977555769169045,0.060709539413945246,0.07238134355300682,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916
age,first,10,1,1,"English, more-established",0.05723979962415089,0.0021419445015780567,0.053041665544174305,0.06143793370412748,ai_use_intro_discussion,english_first,first_senior_10,journal + subfield,2052933,0.19181869703241916
age,first,15,0,0,"Non-English, less-established",0.07689582953097726,0.0016385278396168804,0.07368437397766195,0.08010728508429257,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354
age,first,15,0,1,"Non-English, more-established",0.07614706293104785,0.00178408470159694,0.07265032117054895,0.07964380469154675,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354
age,first,15,1,0,"English, less-established",0.06553487668586853,0.0028489360243383753,0.05995106468390659,0.07111868868783047,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354
age,first,15,1,1,"English, more-established",0.05547330327977743,0.002033976567422881,0.05148678246223018,0.059459824097324684,ai_use_intro_discussion,english_first,first_senior_15,journal + subfield,2052933,0.19187381662547354
age,first,20,0,0,"Non-English, less-established",0.07744663937177439,0.0016742820475122429,0.0741651068586884,0.08072817188486037,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007
age,first,20,0,1,"Non-English, more-established",0.07488182332226033,0.0017718059620312043,0.07140914744908583,0.07835449919543483,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007
