,first-baseline,first-basic,first-interaction,last-baseline,last-basic,last-interaction
const,0.1097***,0.1096***,0.1086***,0.0925**,0.0959**,0.0953**
,(0.0246),(0.0246),(0.0246),(0.0319),(0.0319),(0.0319)
ai_author,,0.0127***,0.0163***,,0.0106***,0.0122***
,,(0.0012),(0.0014),,(0.0010),(0.0012)
author_english_country,-0.0211***,-0.0211***,-0.0187***,-0.0219***,-0.0220***,-0.0204***
,(0.0010),(0.0010),(0.0011),(0.0009),(0.0009),(0.0011)
ai_author_english,,,-0.0126***,,,-0.0045*
,,,(0.0023),,,(0.0018)
author_ins_top_100,-0.0231***,-0.0232***,-0.0230***,-0.0219***,-0.0221***,-0.0220***
,(0.0012),(0.0012),(0.0012),(0.0012),(0.0012),(0.0012)
cumulative_pubs,0.0106***,0.0090***,0.0088***,0.0117***,0.0098***,0.0098***
,(0.0006),(0.0007),(0.0007),(0.0006),(0.0006),(0.0006)
cumulative_cits,-0.0036***,-0.0035***,-0.0034***,-0.0078***,-0.0076***,-0.0076***
,(0.0004),(0.0004),(0.0004),(0.0003),(0.0003),(0.0003)
author_age,-0.0004***,-0.0004***,-0.0004***,-0.0005***,-0.0005***,-0.0005***
,(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000)
N,163045,163045,163045,200846,200846,200846
R2,0.018,0.018,0.019,0.023,0.024,0.024
