,first-basic,first-interaction,last-basic,last-interaction
const,0.7618,0.7553,1.4107*,1.4108*
,(0.5124),(0.5124),(0.7149),(0.7149)
ai_use_change,2.4558***,2.5583***,3.3344***,3.4580***
,(0.0517),(0.0604),(0.0501),(0.0601)
author_english_country,0.2243***,0.2459***,0.4678***,0.4964***
,(0.0203),(0.0214),(0.0208),(0.0222)
ai_use_change_english,,-0.3823***,,-0.3999***
,,(0.1162),,(0.1076)
author_ins_top_100,0.0075,0.0053,0.0713**,0.0688**
,(0.0259),(0.0259),(0.0260),(0.0260)
cumulative_pubs,-0.4283***,-0.4287***,-0.8277***,-0.8275***
,(0.0134),(0.0134),(0.0138),(0.0138)
cumulative_cits,-0.0125,-0.0127,0.1209***,0.1208***
,(0.0078),(0.0078),(0.0072),(0.0072)
author_age,0.0087***,0.0087***,0.0070***,0.0070***
,(0.0006),(0.0006),(0.0005),(0.0005)
N,163045,163045,200846,200846
R2,0.035,0.035,0.051,0.051
